Nama Pengguna,Rating,Waktu,Komentar
Abdul Rohim,4.0,4 tahun lalu,awal pelonggaran ppkm.. jalan pagi di GBLA.pulang jajan kaos сре-3..макасен рага рекаеl.moga berkah hidup kalian. Спасибо!
Metal Militia,4.0,7 tahun lalu,"Kualitas stadion bagus...Hanya fasilitas pendukungnya bs dikatakan jelek.Parkiran semrawut, WC Umum bnyk yg tdk berfungsi. Smoga pihak pengelola bisa lebih profesional"
Siti Hafsha,5.0,7 tahun lalu,Aksesjalannya kurang besar apalagi kalo pas ada acara jadi bakal super macet.. Yg saya rasakan
Gusmanik Prahardi,3.0,Diedit 9 tahun lalu,"Stadion kebanggan JABAR, tapi belum tersedia parkir sepeda"
Rusman channel,4.0,8 bulan lalu,Pertama sudah ada kemajuan
Muhamad albian Syarif,5.0,setahun lalu,Ciro Alves mencetak gol gelora Bandung lautan api selalu di hati masyarakat Indonesia khususnya remaja putri tentang bagaimana sepak bola Indonesia BRI liga 1 saya terima kasih Persib Bandung telah mengalahkan PSM Makassar sebentar nanti pas lawan persibaya Persib menang dan PSIS dan Persija Jakarta Amin ya robbal alamin
Aprillia Dewi Suciati,5.0,Diedit 7 tahun lalu,kalo tiap hari minggu biasanya rame banget sama yang sepedahan ato jogging. tapi hari sabtu juga suka ada yang olahraga ke sini sih
Ima Apriany,4.0,7 tahun lalu,Akses kesini agak susah kecuali kalau exit tol gedebage sudah dibuka
Suryananda Windie Oryzava,5.0,3 tahun lalu,"Tempat yang enak untuk olahraga ringan seperti jogging, kalau sore bisa sambilan lihat sunset."
Bang Aswi,4.0,5 tahun lalu,"Enak buat olga, tapi ya suka sebel kalau ada yang balap-balapan atau sok jago di sini. Pibahayakeun!"
kukami gaming,5.0,Diedit 2 tahun lalu,"Semoga secepatnya di renovasi, atap udah bnyak bgt yg bocor"
Fajar Saputra,4.0,Diedit 3 tahun lalu,Home base stadion sepak bola PERSIB BANDUNG
Indra Permana,5.0,7 tahun lalu,"Tempat olahraga baik pagi maupun sore, kalo punya komunitas biasa diajak ketempat ini, tempatnya sangat luas."
Dadan Suwandi,5.0,8 tahun lalu,Tempatnya keren bgt .stadion modern dengan segala kemewahannya
Abu Tsaqif Rizal,5.0,9 tahun lalu,"Nggak rame, sejuk, dan enak buat jogging. Simpelnya, masih alami"
SmitHeisen,5.0,4 bulan lalu,Persib Bandung maung bandung oy oy💙💙💙💙💙🐯
Keenan,5.0,4 bulan lalu,Dulu masih suka persib sekarang udh suka persija
Dwi Joko S,5.0,8 tahun lalu,"Sempet kaget liat dr TOL,, dikira bangunan apa, stelah di buka maps... Eeee.. gak taunya tempat para Bobotoh ngumpul u/ memberi semangat Maung Bandung hehee.."
akang__ agroh,5.0,4 bulan lalu,Stadion yg sangat besar berstandar eropa kebanggaan jawabarat
Azka Arsheva,5.0,4 bulan lalu,GBLA emang the best parkir nya luas
Chef Zicky Zaiko,5.0,4 tahun lalu,"recomended untuk tempat berolahraga,nongkrong dan pemandangan yang bagus"
Tan Tina72,4.0,9 tahun lalu,Tempat yg nyaman buat berolah raga
Robby Maulana Christian,5.0,8 bulan lalu,salah satu tempat ihtiyar (pasar minggu) pengurusnya ramah ramah balageur baik hati #cumibakaryadanbiyadin
Desi Ang,5.0,setahun lalu,Mie kocok ini tuh legend. Dulu tuh awalnya diajak mama ku makan disini. Itu saat aku masih SMP. Dan sekarang aku udah punya anak bujang 😊😂 Pokoknya recommended bgt ya guys🤤
Rifqi Deny,5.0,8 tahun lalu,"Persib juara ,pesib salawasna ,persib always Go go go go go persib goooooo  Gbla keren ,gedebage"
Iman Surahman,5.0,2 tahun lalu,Sebagai org bdg pas stadion GBLA berada di pisisi gedebage krn jauh dr kemacetan
Ang Wahab,5.0,5 tahun lalu,Bagus siih sayang bangett gak bisa masuk Dan luas bangett pastinya
Karminah Mela,5.0,3 tahun lalu,Sore² kesini hanya sekedar diem cemal cemil pinggir jalan... Lumayan seruu bagiku #maafkan ficture nya gelap 🤭
Azrim Hazmah,4.0,7 bulan lalu,Lumayan lah enak tapi kotor euy agak dibersihkan lagi ya fasilitas nya
raden rafael,5.0,11 bulan lalu,"terimakasih untuk kak audy sudah menyambut dan memberikan pengalaman dan service yg terbaik, sukses and see u for the next vacation kak audy dan grand mercure"
M. Valen Rafanza,5.0,3 tahun lalu,"Stadion nya megah, Keren cuyy"
hartanto saja,3.0,7 tahun lalu,Petunjuk akses masuknya kurang jelas..
Isvara Prasetio,5.0,4 bulan lalu,Kurang pemeliharaan taman Parkirnya saja
Pebrian294,4.0,Diedit 2 tahun lalu,Kamar mandi tak terurus selebihnya sudah baik
Andika Maulana Yusuf,4.0,Diedit 7 tahun lalu,"Stadium yang bagus, sayangnya ada beberapa kursi yang rusak dan toiletnya kotor tidak bisa dipakai."
Lili Herliana,5.0,Diedit 2 tahun lalu,Seputaran lokasi gedung setiap minggu dipakai utk wisata keluarga (pasar tumpah dan olahraga)
Rizki Muhammad,5.0,Diedit 8 bulan lalu,PSSI  Persatuan Sepak Bola Seluruh Indonesia Stadion Gelora Bandung Lautan Api Persib Bandung National Football Team 2025 ASEAN Women's Championship RCTT dan GTV
Dede Sodikin,4.0,4 tahun lalu,"Utk bersepeda GBLA cukup bagus. Track jalanan mulus, view jg ok."
nenk desi3344,5.0,3 bulan lalu,Cuma bisa liat dari depan.blom bida masuk
Suhartono Rahardjo,5.0,5 tahun lalu,"Tempatnya snagat nyaman huat olah raga ringan atau bersepeda, juga ada yang jualan aneka kulimer."
M Reja,4.0,8 bulan lalu,Kulaitas rumput bagus cuman kursi nya banyak debu nya
ferry siswoyo,4.0,setahun lalu,Hanya bisa di akses masuk diparkirannya saja dan tidak bisa masuk sampai depan stadionnya tidak seperti stadion2 besar lainnya. Semoga nanti bisa di akses sampai depan dan bisa digunakan untuk berolah raga mengelilingi stadion.
Adi Shaif,1.0,7 bulan lalu,Sekelas GBLA kegenang air hujan??? Dreinase airnya gimana to
To2h NRP Channel,4.0,5 tahun lalu,Stadion terbesar ke 1 di bandung setelah stadion si jalak harupat. Bisa dijadikan arena olahraga di depannya...
Dede Purnama Maulid,5.0,setahun lalu,Nonton pertandingan sepak bola yang nyaman dan aman
ahyar ruhiyat,5.0,3 tahun lalu,pengelolaan kasih ke pt.pbb cat dengan nuansa biru lebih bagus
Lukito Angga Prasakti,5.0,2 tahun lalu,Tempat yg cocok untuk lari santai atau bersepeda santai
sri kusdiningsih,3.0,Diedit 3 tahun lalu,"Stadion nya oke gede, tapi toiletnya ya ampun ga terawat masa gda airnya trus kotor dan gada lampu nya. Sayang banget ga keurus"
Uun Nurjanah UNI,5.0,6 tahun lalu,"Tempat olah raga, jalan santai, kuliner, pasar mingguan, latihan mobil...dll"
Huril In Afqiha Taubatin,5.0,7 tahun lalu,"Tempatnya bagus, cuma kalau malam gelap banget. Kurang penerangan, kurang terurus, terutama lahan parkir, toilet, dan kebersihan"
Agus Iwan,5.0,2 tahun lalu,"Area yang luas, nyaman dan aman untuk dijadikan tempat persinggahan setelah berolahraga"
Ayy,5.0,4 tahun lalu,"pas buat berkegiatan selama weekend. buat lari, atau sekedar jajan juga pas 👍👍"
Dewa Pamungkas,5.0,8 tahun lalu,"Kalau mau ke stadion bisa lewat cimencrang jalannya cukup kecil, tidak bisa lewat tol.. Kalau pas persib maen cimencrang padat lebih baik berangkat lebih siang.."
amat metal,5.0,8 tahun lalu,"Stadion termegah di kota bandung , bench nya nyaman , akses jalan ke tempat nya bagus, hanya toilet aja yg mesti banyak perbaikan. Persib beruntung memiliki stadion semegah ini"
Anggha Purandhika,5.0,7 tahun lalu,"Tiap pulang k Bandung pasti Minggu paginya k pasar mingguan d sini nih,jajanannya variatif"
Heri Toni,4.0,7 tahun lalu,penghijauan sepanjang jln dri derwati masih blm rimbun
bibob kaipank,3.0,7 tahun lalu,"Stadion yg cukup megah, namun perawatan stadion dirasa kurang dan akses jalan yg kurang baik untuk menuju lokasi."
Sendy Septiawan,5.0,setahun lalu,Stadiomnya mantull luas dan luar stadionnya cocok untuk olahraga (jogging dan sepedahan)
hilman latief,5.0,4 bulan lalu,Megah...
Adie Cahyadie,5.0,11 bulan lalu,"Kondisi stadion perlahan membaik, mudah2an misim depan lebih baik dan tertata lagi, dan penonton bisa nyaman baik di luar maupun dalam stadion"
Ihsan Mutaqin,5.0,2 tahun lalu,"Mantap, walaupun beberapa perlu perawatan lebih..."
Realme store bandung timur,5.0,4 bulan lalu,Mantap bagus bersih parkiran luas
Neneng Rosmiati,3.0,Diedit 6 tahun lalu,"Klu hari minggu ada pasar dadakan, ada kulinernya dn cocok buat yg mau belanja"""
Amri Sianturi,5.0,8 tahun lalu,"Parkir luas, akses pintu tol mudah, sejuk karna di daerah dataran tinggi, bersih, sayang toiletnya kotor"
PEMUDA SENIMAN,5.0,5 bulan lalu,Sering nonton Persib
Hafsah Khoerunnisa,5.0,3 tahun lalu,"Viewnya enak, suasananya enak dipake buat ngopi juga, keren 😍"
Yuli Kenzie,3.0,7 tahun lalu,"Kmrn kesini cuman foto2 aja di depan gerbang official,, sayang sekali sekitaran stadion banyak sampah plastik. Tempat loket juga terlihat seperti tidak dirawat."
rubby saputra,5.0,8 tahun lalu,Stadion standar internasional. Bangkunya sudah pakai bangku lipat.
Pomol Lupe,5.0,6 bulan lalu,Toilet lantai 3 tolong jalanin air nya
Lukman Aja,4.0,Diedit setahun lalu,"Salah satu stadion megah dibandung, bobotoh sejati pasti sudah tahu, apalagi sekarang pengelolaanya sudah lebih baik,  katanya siih sudah kaya di mall 😊  Belum pernah kesana lagi, dulu sii pas kesana belum seperti mall, jadi penasaran,  Lahan parkir sangat luas, deket dengan Masjid Raya Al Jabar yang Viral itu,"
sally badriyah,5.0,6 tahun lalu,Menyenangkan CFD do GBLA.. hanya saja jalur bazar yg hanya khusus untuk pejalan kaki masih sliweran motor sehingga membuat jalan ga nyaman..
Hairul Efendi,5.0,Diedit 9 tahun lalu,Satu satunya stadion  bertaraf internasional di kota Bandung yang siap menyambut perhelatan insan sepak bola yang nyaman dan aman dengan fasilitas dan akses tol dan dekat dengan polda Jawa Barat.
IRVANSOFT,3.0,6 tahun lalu,"Aksesnya Besar, Ada lampu penerangan di malam hari."
Rita Meutia,5.0,5 tahun lalu,Cocok utk olahraga..byk yg jual makanan juga..kebeneran dibuka pas ke GBLA.. tetep jaga protokol kesehatan yaa..
Bang Thablo,5.0,7 tahun lalu,Tembatnya nyaman dan sejuk untuk melakukan aktifitas berolah raga ...
Faza Bolang,3.0,9 tahun lalu,Pernah mampir waktu belum jadi kawasan sekitarnya
Yuri Ayu Lestari,5.0,6 tahun lalu,Gelora Bandung Lautan Api.. Jalanan yang nyaman untuk berlatih berkendara..
Riobie McShamroog,4.0,7 tahun lalu,"Stadion bagus, aksesnya jelek tapi, sayang sekali"
RINALDI ADHA,5.0,3 bulan lalu,stadion kebanggan wargi bandung
alfha riza,5.0,7 bulan lalu,Menyenangkan bisa melihat langsung para pemain dari sisi lapangan
AnaChoirul Mutakin,5.0,6 tahun lalu,"Tempatnya enak buat tongkrong sore"" gaess"
Dimas Adriansyah,5.0,Diedit 7 tahun lalu,Stadion paling megah untuk menonton pertandingan sepak bola Big Match
Rio BDG,1.0,setahun lalu,Buat apa stadion di bangun kalu masyarakatnya tidak boleh masuk olah raga di area stadion hanya untuk lagi kelilingin olah raga lari di area stadion saja ga boleh masuk di jaga security kalu gitu mending turup permanen saja stadionya Dan sangat bebahaya jika berolah raga lari di jalan sepanjang jln ke arah stadion banyak kendaraan besar seperti bus pemotor ugal ugalan Mohon utuk pemerintah wilayah Kalu bisa di buka stadion untuk umun di area stadion meskipun di areanya saja tidak harus masuk ke lapanganya
Wiwin Kartini,5.0,Diedit 3 tahun lalu,"Tempat untuk olahraga, kuliner, belanja klu hari minggu ada pasar Tempatnya bersih dan nyaman Dan sekarang stadionnya udah jadi homebase nya Persib"
Cecep Rahmat,5.0,Diedit 4 tahun lalu,Stadion sudah baik tinggal perawatan dan fasilitas umumnya perlu dijaga dari tangan jahil
Muhammad Fikri A,5.0,7 tahun lalu,"Salah satu stadion ter-megah yang ada di Jawa, mungkin juga termasuk stadion ter-megah di indonesia yang dekat sawah 👍"
nasir anas,4.0,7 tahun lalu,"Luar biasa, stadion penuh untuk acara tablig akbar UAS"
JAJANG MASRIAN,5.0,5 tahun lalu,"Saya suka karena j Suasananya bagus buat buat berolah raga, bersepeda,lari, maupun jalan santai"
SARIPUDIN ardin,5.0,setahun lalu,Persib vs dewa united 18 januari 2025
selfia arisma,5.0,2 bulan lalu,Selalu ada cerita seruuu disini
Syamsi Ridwan,5.0,2 tahun lalu,Tempat yg nyaman buat jogging di hari weekend dan cocok buat latihan kendaraan di siang hari
ledy amtiran,5.0,7 tahun lalu,Arena olahraga punya Jawa barat tapi seperti tidak terurus.. rumputnya uh lebih tinggi dari pager
kemo 0,5.0,3 tahun lalu,"sayang stadiunnya nonaktif, tapi area sekitar bagus buat gowes"
Raka Hambali,5.0,3 bulan lalu,"Nice stadion, terang setiap lorong2"
P I O N E E R 612,3.0,3 tahun lalu,"Kursi pada ruksak, wc kotor bau pesing parah, kalo bukan karna persib rasanya bete bgt disini"
alfan arrasuli,2.0,4 tahun lalu,"Kusam, sayang kurang dirawat padahal waktu awal ada mengkilap sekali atap stadionnya"
Didan Irwan S,3.0,5 tahun lalu,Untuk acara outdoor tempat ini cukup ok
Ardi Rahman,4.0,3 tahun lalu,Stadion nya sebenernya keren cuman karena jarang digunakan jadi pelan-pelan kualitas bangunan nya makin jelek
Rifaldi Kurnia,1.0,11 bulan lalu,"Penerangan jalan area stadion mati semua full gelap ngeri ada kejahatan, di area luar stadion banyak teing yg dagang asa kumuh"
Agus Sujana,5.0,5 tahun lalu,lokasinya mantap buat santuy dan selpian
Deni Mulyadi,4.0,3 tahun lalu,Baru bisa menikmati stadion dari luar nya saja. Semoga awet dan ga cepet rusak stadion kebanggaan kota bandung ini.
Ami Ruswana,5.0,4 bulan lalu,Selalu dinantikan momen pertandingan nya
Henry Irawan,5.0,8 tahun lalu,"Yg suka keramaian minggu pagi, dateng aja ke sini...banyak yg jualan dan oke juga buat olahraga"
Lilis Juariah,5.0,4 tahun lalu,baguss ademm bersih .tp sayang tempat sampah nya masih minim .suka bingung buang sampah dmna .
Tatep Suherman,4.0,3 tahun lalu,"Area luar stadion ya masih proses pembersihan dari ilalang yg kemaren² kurang terawat,"
Deris Friyanto,5.0,Diedit 6 bulan lalu,Stadion dengan fasilitas yang luar biasa dengan memperhatikan tingkat kenyamanan dan keamanan bagi para pendukung sepak bola atau olahraga
jojo sutarja,4.0,2 tahun lalu,Stadion sepakbola kandang Persib Bandung  mudah diakses/ dijangkau dari jalan Toll Padalarang Cileunyi.
Intan Ripdinapuspa,2.0,6 tahun lalu,Bebersih GBLA.. malang nasibmu kini 😞😞 terakhir kesini pas pertandingan PERSIB VS PERSIJA lala itu..
Tania Narulita,4.0,4 tahun lalu,"Datang ke sini di hari Minggu bukan untuk olahraga atau nonton pertandingan olahraga, tapi untuk belanja di pasar kaget dan kulineran."
elit permana putra,5.0,5 tahun lalu,"Setadion Kebanggaan Jawabarat, Kandang simamaung PERSIB BANDUNG"
Harivan Septian,5.0,5 bulan lalu,Stadion bertaraf internasional dengan kesejukan khas kota kembang
Hilma Febriani,5.0,4 tahun lalu,Tempat olah raga yang lumayan seru banyak pilihan makanan enak juga hihihi
Sakahayang CH,5.0,7 tahun lalu,tempat yg enak untuk santai.. sambil ngupi di warcet alias warung ceu tati yg banyak nyediakan makanan gorengan dan surabi.... 👍👍👍👍👍
Sony Sonjaya,5.0,7 bulan lalu,"Stadion nyaman, tapi akses parkir kalo bigmatch lumayan repot"
Nizam Tegal,5.0,8 bulan lalu,"Stadion bagus,ramah penonton, rumput standar internasional 🔥🔥🔥"
Messilmi Harahap,5.0,6 tahun lalu,Mantuuull.. tempat yg asyik buat momentum bareng istri
Siswanto Pardi,5.0,3 tahun lalu,Area diluar stadion cukup luas dan asri. Ada view persawahan dan masjid. Jajanan lengkap
Heri Jam'at,5.0,2 tahun lalu,Sangat membantu sekali untuk usaha kami
Wil Dan,1.0,6 tahun lalu,Ada pengalaman dengan ka polsek gedebage selama giat pertandingan persib vs persija
Keluarga Besar Junaedi's,4.0,4 tahun lalu,"Tempat olahraga, tempat nongkrong tempat bahagiakan bocil kalau weekend dan tempat belanja berbagai keperluan kalau weekend hanya saja saya stadion nya kurang berfungsi dan terbengkalai"
Bl Ink,5.0,5 bulan lalu,𝘗𝘦𝘯𝘨𝘦𝘯 𝘤𝘪𝘳𝘰 𝘈𝘭𝘷𝘦𝘴 𝘬𝘦𝘮𝘣𝘢𝘭𝘪
Adam Syaepul Husein,5.0,Diedit 3 tahun lalu,"Cai wc na asin, padahal jauh ti laut 😢"
Tunas Pajajaran01,5.0,4 bulan lalu,Mantap pelayanan nya ramah dan cepat
Yayat Syarif H,5.0,11 bulan lalu,Stadion nya bagus ...auranya bikin merinding
Seztion budi,5.0,3 tahun lalu,"Sarana olahraga, nonton bola, bersepeda yang bernuansa sawah dan dikelilingi view pemandangan perbukitan."
Florentina Reny Okta Nuraeni,5.0,3 tahun lalu,"Tempat olahraga, refreshing, kuliner, dll.. parkiran luas"
IDA WETI,5.0,Diedit 7 tahun lalu,Tempat olahraga keluarga tiap hari Minggu. Bisa sambil belanja karena ada pasar kaget tiap hari minggu.
Roro Kemuning,5.0,3 tahun lalu,Lumayan lah ya agak bersih cuman toiletnya hadech tidak terurus
Uyuy Pranataa Chanel,5.0,2 tahun lalu,Seru banget pertama kali masuk ke dlm gbla
Yetty Swy,4.0,7 tahun lalu,Bagus...nyaman untuk berbagai aktifitas olah raga...
Aguez Hermawan,5.0,6 tahun lalu,"Cocok buat olahraga pagi,, sama banyak jajanan buat anak anak.. we love bandung.. Alhamdulilah"
Indra Lesmana,5.0,setahun lalu,keren dan nyaman
Rudi Sunandar,5.0,4 tahun lalu,Masih menjadi rest area destinasi goweser pada weekend sekedap ngopi sambil ditemani surabi dan gorengan
Muhammad Ikhsan,5.0,2 bulan lalu,Tempat Nyaman
Rudi Parid Harja,4.0,3 tahun lalu,Setadion kembanggan jawa barat sekaligus kandang Persib Bandung pangeran biru..
Intan Riswantoro,5.0,7 tahun lalu,"Luas untuk jogging, bersepeda santau di hari sabtusangat nyaman, di hari minggu ada pasar minggu"
chicha kusmiati,4.0,6 tahun lalu,Pas jln ksn kyk d luar negri hhhh
dede rizwan,4.0,8 tahun lalu,Pertama x kesini. Nonton langsung pertandingan persib bandung vs PSTIRA. Seru.. Gokil...
Kiki Baihaki,5.0,8 tahun lalu,"Ada dan luas buat belajar Drone, yang belajar mobil juga banyak"
sisil,4.0,7 tahun lalu,"Tempatnya luas, fasilitasnya lumayanlah, sayangnya agak kotor aja."
Reza Fadillah,4.0,7 tahun lalu,"Stadion nya enak , kapasitas sangat banyak , tetapi kurang di perwatan saja, khususnya wc , dan musolla"
Eri Destari,5.0,7 tahun lalu,Atmosfer yang sangat luar biasa...stadion satu ini...bikin merinding
mita agustina,5.0,7 tahun lalu,Keren dan mantul (mantap betul) tempat nya..
made magis,4.0,7 tahun lalu,Di sayangkan beberapa fasilitas stadion mulai tak terawat dan rusak
jafar mld,5.0,8 tahun lalu,Toilet ditribun timur atas dan bawah tdk ada airnya
Deni rukmana,5.0,7 bulan lalu,GBLA punya acerita
risky bagja,4.0,8 tahun lalu,Nonton persib... seru broh... stadion cukup baik.. walau bnyak kerusakan disana sini..
Dyan Anggraeni,4.0,3 tahun lalu,Enak buat lari pagi
Uten,4.0,7 tahun lalu,Jalan jalan minggu pagi bersama keluarga makin asyiik dan dekat. Mau olahraga atau pun sekedar berbelanja bisa banget disini
Deri milanisti,4.0,Diedit 7 tahun lalu,stadion di gede bage yg kebanggaan jawa barat
Annisa Vilya (Anvil),5.0,6 tahun lalu,Enak untuk olahraga pagi & sore. Untuk belajar mobil juga enak karna jalan yang lurus terus
Yuli Yulia,5.0,11 bulan lalu,"Tempat semegah ini emang agak kurang terawat, sayang aja sih.. mudah2 kedepannya jadi stadion unggulan Jawa Barat"
Annisa Nadhira,3.0,4 tahun lalu,Bangunannya megah dan jalannya bagus. Hanya saja belum cukup terawat....
andi,5.0,4 bulan lalu,"stadium terbaik di bandung, kandang persib bandung"
Chaidir Aji Ginanjar,5.0,4 tahun lalu,Tersedia Helm sepeda akseories sepeda dll Disini
andy hanif,5.0,4 bulan lalu,Bikin candu
Yully SEP,5.0,3 tahun lalu,Sayangnya kalo.pasar pagi sampahnya🥲🥲🥲
Rian DOS,5.0,3 bulan lalu,gerbang utama masuk ke komplek pergudangan
Mimarnurul Muttaqin,5.0,5 tahun lalu,Adem enak kalau buat lari pagi ☺
Futista Forever,5.0,setahun lalu,Pelayanan kendaraan bermotor anda yg sempurna
Kang Izen,5.0,4 tahun lalu,Enak buak olah raga terutama pagi pagi
Haqi Putra Pratama,5.0,8 bulan lalu,"Best experience pas nonton Persib. Pintu masuk banyak, parkir luas."
Muhammad Aqil,5.0,6 tahun lalu,"Bagus,  tapi sekarang malah tidak terawat,  banyak rumput liar yang mrnghalangi sampai sampai setinggi pohon biasa"
Zeeanx Kurnia,1.0,9 bulan lalu,Sungai amazon tidak bersahabat bagi para petualang pemburu pun takut hewan buas dan bertahan di sungai amazon
Aris Setiawan,5.0,4 bulan lalu,Tempat Melepaskan Rindu untuk sang Juara
Radens Tampans,5.0,4 tahun lalu,Sedikit panas bet Tapi selebew mantap angin nya
Muhammad Abdul,5.0,3 tahun lalu,"Jogging dan olah raga lainnya enak banget, jauh dari kebisingan kota, segar."
nanang ST,5.0,Diedit 2 tahun lalu,"Sangat bagus buat olahraga,dan mencari jajanan."
Abidzar Alghifari,5.0,sebulan lalu,Kesini kalau ada pasar atau ada Persib
Andrie Octavian Hanafiah,4.0,Diedit 11 bulan lalu,"Kandang Maung Bandung,  selintas mirip Stadium Alianz Munich hanya saja perlu perawatan yg lebih intens dan dikelola secara profesional"
Cici Hermayanti,3.0,7 tahun lalu,Baru pertama kali kesini..di dalam stadion bagus fasilitas nya nyaman.. cuman bagian luar nya kebersihannya kurang terjaga..
alfa puja,5.0,3 tahun lalu,Tempat nya bagus banget Dan dekat sama masjid AlJabbar Badung
Adam Koswara,5.0,7 tahun lalu,"Stadion nya keren, megah, lahan parkir luas. Dekat dengan akses jalan tol juga."
Namina Corps,5.0,9 bulan lalu,"Keren, semakin membahana dikelola oleh persib. Semoga semakin nyaman, bersih dan aman"
Rakan Zah,5.0,8 tahun lalu,Markas klub kesukaanku 😍😍 PERSIB BANDUNG
Rahayu Sutrisman,3.0,6 tahun lalu,Hadeuh.. stadion semegah ini tidak dipakai.. pelataran parkir banyak rumput tinggi
Rizki Firmansyah,5.0,3 tahun lalu,Masalah utama stadion ini adalah WC yg jorok tidak ada air
Syifa Ulya,5.0,7 tahun lalu,"Tribun vip cukup terawat ,bersih ,cuma ada bocor sesikit"
wenryy Junythaa,5.0,Diedit 6 bulan lalu,Terbaik PERSIB 💙💙💙⭐️⭐️⭐️⭐️
Ocha Arthan,5.0,2 tahun lalu,"Salah satu stadion kebanggaan warga Bandung. Luas ,akses mudah"
Oval Saputra,5.0,7 bulan lalu,Stadium kebanggaan masyarakat Jawa Barat dan Bandung terutama🙌
Dani Wardhana,5.0,3 tahun lalu,Asik buat olah raga pagi dan cari sarapan...
Ramdani Muhammad Basumbul,5.0,7 tahun lalu,"Stadiun kebanggaan warga Jawa Barat, tempat asik untuk olahraga, nyaman dan masih asri."
Diz,3.0,2 tahun lalu,"Besar, luas, cuma fasilitas toilet tidak berfungsi airnya, jorok dan bau. Lebih bagus stadion arcamanik terawat. Akses jalan kecil ditambah ada destinasi mesjid Al jabar yg selalu banyak pengunjung di akhir pekan"
Sepul Rohman,4.0,setahun lalu,Sangat memuasakn dan enak buat jalan jalan sama keluarga
Rury Dermawan,5.0,4 tahun lalu,"Stadion nya bagus, untuk olahraraga jogging dan sepedahan cocok karena sepi"
Mugni Nurjaman,5.0,7 tahun lalu,"Stadion anu bagus pisan se Jabar eyy,, tidak jauh dari jalan, harga tiket murah . Dan tempat sangat strategiss."
Qomarudin Qomar,5.0,8 bulan lalu,Sangat mengesankan karena baru pertama nonton langsung di Gbla
Arif Rahman,4.0,3 tahun lalu,"Jalan jalan di Minggu pagi disekitar GBLA, sambil belanja keci kecilan dipasar kaget"
Asep Mulyadi,5.0,7 bulan lalu,Cocok buat lari di pagi hari
Juliana Setiawati,3.0,setahun lalu,"Akses ke gblA kalw mau nonton Persib sangat macett dan tidak ada solusi dari dlu tetep gini, yang mengatur lalu lintas nya pun gak bisa di andelin"
CHOKY WOW,5.0,6 tahun lalu,"Gede dan luas banget,,, sayangnya ga bisa masuk ke gerbangnya,,, jadi cuma bisa liatin dari luar pagarnya za,,,"
Rusdi Hen,5.0,6 tahun lalu,"Bagus banget arsitekturnya hanya kurang tanaman saja, panas banget"
Oki Hikmat,5.0,11 bulan lalu,"Tempat lebih tertata, lebih banyak stand, sterilisasi dilakukan jauh dr stadion.. mantap"
Rudi Fityanto,5.0,3 bulan lalu,Untuk ukuran stadion sangat besar
Aep Doank,5.0,8 tahun lalu,Tempatnya sangat ramai kalau minggu pagi. Banyak yg jualan dan yg olahraga
Tata Martanegara (Marta),5.0,2 tahun lalu,"kembali lagi ke GBLA,stadion semakin megah,bersih&terawat good job👍"
Kang Yanyan,3.0,setahun lalu,Sayang tidak seperti GBK yg bisa digunakan jogging dibagian luar stadionnya. Padahal mh yah duhhh euy...
sarah azzahra,2.0,setahun lalu,Stadion masih perlu banyak pembenahan . Toilet bnyak yg ga fungsi. Tempat parkir juga kurang nyaman.
Almi Yassin,5.0,7 tahun lalu,Stadion gelora bandung lautan api (GBLA) homebase dari tim kesebelasan persib bandung.stadion ini mampu menampung supporter sebanyak 38.000 orang.
Kang Ujze56,5.0,Diedit setahun lalu,Mantap ....stadion yg bagus
Achmad Fachrudin,5.0,Diedit setahun lalu,"Setiap Minggu banyak kegiatan masyarakat sekitar, olahraga dan transaksi jual beli."
MANGYUGAS 007,5.0,5 tahun lalu,"Suasana asri nan nyaman,  cocok untuk bersantai dan berolahraga, dengan disuguhi pemandangan persawahan"
Emak Bucin,5.0,7 tahun lalu,Olah raga pagi atau sore setiap hari asik. Tempatnya lega. Kalau hari Minggu pagi bisa ikut senam juga... Asik
Fajar Hikmah,4.0,7 tahun lalu,Stadion bagus tapi akses jalan kurang memadai. Andai saja akses ke jalan toll di buka.
Dodi Kristijanto,5.0,4 tahun lalu,Gelora bla ditutup tetapi sekitar gelora banyak jualan pakaian serta makanan ringan serta olahraga
nurul hudayati,5.0,7 tahun lalu,"Stadion glora bandung lautan api merupakn stadion terdekat, di  kawasan bandung timur."
Firdaus Mfh,5.0,3 tahun lalu,Ok nyaman. Cuma sistem pembelian tiket tolong diperbaiki sistem nya.
Hazar Nurbani,5.0,11 bulan lalu,"Tempat yang tepat untuk yang mau latihan mobil, untuk yang joging, atau kulineran di akhir pekan yang selalu ramai"
rey big,5.0,2 tahun lalu,tempat olahraga dan cari makan apalagi kalo hari minggu rame dengan yang jualan makanan
Alsya Utami Rahayu,4.0,7 tahun lalu,Stadionnya luas meskipun masih banyak rumput liar di luar area stadion
Bernard Ferdinand,5.0,2 tahun lalu,Kebetulan lewat karena mau ke stasiun tegal luar 😁
Rosid,5.0,7 tahun lalu,Mantep tempat nya indah kotanya sejuk cuacanya
Fatimah Azzahra,4.0,7 tahun lalu,Bagus hanya saja sulut membedakan pintu utama mungkin karena saya pertama kali
Punduh Nana,5.0,7 tahun lalu,"Tempatnya sejuk , udaranya segar dan lingkungannya juga ramah . Cocok buat tempat berolah raga ...."
